epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.61117,1.33423,2.87058,1.64245,0.57454,0.85,0.87817,0.63489,1.64855,1.07041,1.38313,0,0,0
2,2.93123,1.20336,2.71842,1.51742,0.56593,0.85,0.8486,0.63183,1.64669,1.06023,1.37385,1.17822e-06,1.17822e-06,1.17822e-06
3,4.18667,1.1399,3.63001,1.55512,0.56072,0.85,0.85084,0.61618,1.66648,1.06082,1.37907,2.33288e-06,2.33288e-06,2.33288e-06
4,5.38153,1.28077,2.75598,1.39152,0.56143,0.85,0.84953,0.61587,1.66055,1.05358,1.37787,3.46397e-06,3.46397e-06,3.46397e-06
5,6.59292,1.38514,3.07686,1.73671,0.56783,0.85,0.85527,0.62113,1.6591,1.03964,1.3751,4.5715e-06,4.5715e-06,4.5715e-06
6,7.80143,1.53471,4.1598,1.97731,0.54345,0.85,0.89361,0.62163,1.68945,1.06141,1.38011,5.65548e-06,5.65548e-06,5.65548e-06
7,9.00133,1.12367,1.87781,1.39789,0.53793,0.85,0.89343,0.62583,1.68209,1.06024,1.37727,6.71588e-06,6.71588e-06,6.71588e-06
8,10.1814,1.38034,4.01707,1.60909,0.54941,0.8598,0.85888,0.61278,1.64532,1.06018,1.35423,7.75273e-06,7.75273e-06,7.75273e-06
9,11.3613,1.12621,2.71394,1.41338,0.57127,0.86199,0.81825,0.59502,1.66863,1.0625,1.36553,8.76602e-06,8.76602e-06,8.76602e-06
10,12.543,1.19332,3.50658,1.5963,0.5813,0.8622,0.81417,0.59543,1.66138,1.06382,1.35869,9.75574e-06,9.75574e-06,9.75574e-06
11,13.7311,1.21434,2.48621,1.45372,0.58852,0.86306,0.85596,0.61996,1.65825,1.06763,1.35855,1.07219e-05,1.07219e-05,1.07219e-05
12,14.9237,1.00328,2.02932,1.37885,0.58608,0.86337,0.85561,0.62084,1.6681,1.07946,1.36637,1.16645e-05,1.16645e-05,1.16645e-05
13,16.1098,0.86516,2.23535,1.13948,0.59523,0.86626,0.85489,0.62066,1.65614,1.07601,1.35859,1.25835e-05,1.25835e-05,1.25835e-05
14,17.291,1.09389,2.21292,1.48547,0.59742,0.86667,0.888,0.62728,1.66023,1.10099,1.36139,1.3479e-05,1.3479e-05,1.3479e-05
15,18.4921,0.95686,1.64722,1.14317,0.60101,0.86667,0.8881,0.62735,1.6595,1.10841,1.36245,1.43509e-05,1.43509e-05,1.43509e-05
16,19.6713,1.22164,2.47908,1.62534,0.77697,0.65,0.87861,0.62307,1.67211,1.12961,1.37259,1.51993e-05,1.51993e-05,1.51993e-05
17,20.9015,0.82353,1.82872,1.18148,0.76847,0.65,0.87331,0.62663,1.67174,1.13844,1.37503,1.60241e-05,1.60241e-05,1.60241e-05
18,22.0624,1.14751,1.57243,1.36034,0.76847,0.65,0.87331,0.62663,1.67174,1.13844,1.37503,1.68253e-05,1.68253e-05,1.68253e-05
19,23.3211,0.97434,1.94082,1.13788,0.76287,0.65,0.86221,0.61559,1.68202,1.17913,1.38597,1.7603e-05,1.7603e-05,1.7603e-05
20,24.5824,0.86194,1.50539,1.18934,0.76287,0.65,0.86221,0.61559,1.68202,1.17913,1.38597,1.83571e-05,1.83571e-05,1.83571e-05
21,25.8225,1.26887,2.58423,1.68092,0.75782,0.65,0.85518,0.61429,1.70137,1.21373,1.39782,1.90876e-05,1.90876e-05,1.90876e-05
22,27.0011,1.07299,2.35933,1.50543,0.75782,0.65,0.85518,0.61429,1.70137,1.21373,1.39782,1.97946e-05,1.97946e-05,1.97946e-05
23,28.2414,1.04404,1.88867,1.47019,0.7334,0.65,0.85526,0.6193,1.69403,1.23126,1.39024,2.0478e-05,2.0478e-05,2.0478e-05
24,33.5354,1.05927,2.20528,1.49049,0.7334,0.65,0.85526,0.6193,1.69403,1.23126,1.39024,2.11379e-05,2.11379e-05,2.11379e-05
25,37.9217,0.85469,1.48188,1.22197,0.70576,0.67229,0.85556,0.61089,1.71255,1.28386,1.40329,2.17741e-05,2.17741e-05,2.17741e-05
26,41.3765,1.13039,1.84474,1.44798,0.70576,0.67229,0.85556,0.61089,1.71255,1.28386,1.40329,2.23869e-05,2.23869e-05,2.23869e-05
27,45.3217,0.90988,1.74951,1.40025,0.69307,0.67682,0.85599,0.61129,1.71861,1.32013,1.40507,2.2976e-05,2.2976e-05,2.2976e-05
28,48.6811,0.81401,1.26363,1.15619,0.69307,0.67682,0.85599,0.61129,1.71861,1.32013,1.40507,2.35417e-05,2.35417e-05,2.35417e-05
29,54.4911,0.99515,1.51676,1.27472,0.68719,0.67854,0.85533,0.60864,1.70095,1.32333,1.39358,2.40837e-05,2.40837e-05,2.40837e-05
30,58.0166,1.28809,2.33646,1.62375,0.68719,0.67854,0.85533,0.60864,1.70095,1.32333,1.39358,2.46022e-05,2.46022e-05,2.46022e-05
31,61.5414,1.01177,1.44092,1.32514,0.67257,0.66667,0.85353,0.6107,1.71737,1.36024,1.4059,2.50971e-05,2.50971e-05,2.50971e-05
32,64.9982,0.85974,1.31555,1.23501,0.67257,0.66667,0.85353,0.6107,1.71737,1.36024,1.4059,2.55685e-05,2.55685e-05,2.55685e-05
33,68.4016,0.85509,1.3084,1.40201,0.65285,0.7,0.76953,0.53395,1.71054,1.39722,1.40586,2.60163e-05,2.60163e-05,2.60163e-05
34,72.1828,1.02767,1.24956,1.29161,0.65285,0.7,0.76953,0.53395,1.71054,1.39722,1.40586,2.64405e-05,2.64405e-05,2.64405e-05
35,76.3316,0.89787,2.18023,1.31171,0.65998,0.7,0.76991,0.5187,1.70462,1.42413,1.40083,2.68412e-05,2.68412e-05,2.68412e-05
36,80.3154,0.90084,1.54592,1.17568,0.65998,0.7,0.76991,0.5187,1.70462,1.42413,1.40083,2.72183e-05,2.72183e-05,2.72183e-05
37,83.867,0.76556,1.05536,1.15325,0.66598,0.7,0.76976,0.5104,1.69011,1.44638,1.39893,2.75718e-05,2.75718e-05,2.75718e-05
38,87.7866,0.48282,0.72749,0.98084,0.66598,0.7,0.76976,0.5104,1.69011,1.44638,1.39893,2.79018e-05,2.79018e-05,2.79018e-05
39,91.9027,0.62383,0.90943,1.00522,0.67366,0.69421,0.76946,0.50368,1.66012,1.47886,1.38562,2.82082e-05,2.82082e-05,2.82082e-05
40,95.7672,0.80076,0.8244,1.16413,0.67366,0.69421,0.76946,0.50368,1.66012,1.47886,1.38562,2.84911e-05,2.84911e-05,2.84911e-05
41,99.7214,0.72989,0.90221,1.04904,0.67188,0.66427,0.74235,0.47928,1.6271,1.50077,1.36966,2.87504e-05,2.87504e-05,2.87504e-05
42,104.798,0.88766,1.91071,1.27044,0.67188,0.66427,0.74235,0.47928,1.6271,1.50077,1.36966,2.89861e-05,2.89861e-05,2.89861e-05
43,106.095,0.83801,1.25151,1.22846,0.66979,0.65,0.72537,0.45138,1.66028,1.5675,1.3939,2.91983e-05,2.91983e-05,2.91983e-05
44,107.303,1.05134,0.9712,1.43459,0.66979,0.65,0.72537,0.45138,1.66028,1.5675,1.3939,2.93869e-05,2.93869e-05,2.93869e-05
45,108.63,0.63153,0.92245,0.99883,0.68414,0.65,0.70408,0.43634,1.65671,1.57733,1.39613,2.9552e-05,2.9552e-05,2.9552e-05
46,109.851,0.80416,1.0099,1.22283,0.68414,0.65,0.70408,0.43634,1.65671,1.57733,1.39613,2.96935e-05,2.96935e-05,2.96935e-05
47,111.165,0.81272,1.44376,1.31242,0.70982,0.65,0.69898,0.43182,1.65734,1.6253,1.40128,2.98114e-05,2.98114e-05,2.98114e-05
48,112.668,0.85692,1.61904,1.20506,0.70982,0.65,0.69898,0.43182,1.65734,1.6253,1.40128,2.99058e-05,2.99058e-05,2.99058e-05
49,116.161,0.66565,0.70013,1.25163,0.74797,0.65,0.69701,0.4298,1.66693,1.64159,1.40599,2.99766e-05,2.99766e-05,2.99766e-05
50,119.695,0.78203,0.78858,1.28673,0.74797,0.65,0.69701,0.4298,1.66693,1.64159,1.40599,3.00238e-05,3.00238e-05,3.00238e-05
51,123.123,0.82631,0.86364,1.12388,0.75825,0.65,0.69301,0.42659,1.63959,1.65689,1.39818,3.00475e-05,3.00475e-05,3.00475e-05
52,128.199,0.93423,0.9609,1.31323,0.75825,0.65,0.69301,0.42659,1.63959,1.65689,1.39818,3.00476e-05,3.00476e-05,3.00476e-05
53,130.72,0.6511,0.70962,1.18009,0.75825,0.65,0.69301,0.42659,1.63959,1.65689,1.39818,3.00242e-05,3.00242e-05,3.00242e-05
54,131.97,0.82664,0.94946,1.26935,0.72227,0.65,0.68047,0.41486,1.6362,1.72527,1.40621,2.99772e-05,2.99772e-05,2.99772e-05
55,133.148,0.78649,0.92529,1.11964,0.72227,0.65,0.68047,0.41486,1.6362,1.72527,1.40621,2.99066e-05,2.99066e-05,2.99066e-05
56,134.391,1.1586,1.42013,1.63161,0.72227,0.65,0.68047,0.41486,1.6362,1.72527,1.40621,2.98125e-05,2.98125e-05,2.98125e-05
57,135.624,0.92563,1.52141,1.36614,0.7071,0.67945,0.68239,0.3989,1.65584,1.74913,1.42046,2.96948e-05,2.96948e-05,2.96948e-05
58,136.805,0.8583,1.49172,1.27191,0.7071,0.67945,0.68239,0.3989,1.65584,1.74913,1.42046,2.95535e-05,2.95535e-05,2.95535e-05
59,138.027,0.78578,0.81824,1.15814,0.7071,0.67945,0.68239,0.3989,1.65584,1.74913,1.42046,2.93887e-05,2.93887e-05,2.93887e-05
60,139.311,0.93393,0.83014,1.51739,0.73983,0.51667,0.68456,0.40069,1.67981,1.77695,1.44212,2.92003e-05,2.92003e-05,2.92003e-05
61,140.49,0.64678,0.68596,1.063,0.73983,0.51667,0.68456,0.40069,1.67981,1.77695,1.44212,2.89884e-05,2.89884e-05,2.89884e-05
62,141.681,0.71016,0.90632,1.05251,0.73983,0.51667,0.68456,0.40069,1.67981,1.77695,1.44212,2.87529e-05,2.87529e-05,2.87529e-05
63,143.37,0.7922,0.8585,1.16716,0.82326,0.48584,0.68299,0.40131,1.66011,1.82764,1.44422,2.84938e-05,2.84938e-05,2.84938e-05
64,147.869,0.62462,0.64121,1.06689,0.82326,0.48584,0.68299,0.40131,1.66011,1.82764,1.44422,2.82112e-05,2.82112e-05,2.82112e-05
65,152.878,0.69063,0.69968,1.23919,0.82326,0.48584,0.68299,0.40131,1.66011,1.82764,1.44422,2.7905e-05,2.7905e-05,2.7905e-05
66,157.911,0.69655,0.95965,1.09118,0.81634,0.48618,0.60047,0.3329,1.6884,1.88692,1.44866,2.75753e-05,2.75753e-05,2.75753e-05
67,162.729,0.73437,1.13831,1.10332,0.81634,0.48618,0.60047,0.3329,1.6884,1.88692,1.44866,2.7222e-05,2.7222e-05,2.7222e-05
68,167.683,1.02083,1.74304,1.37658,0.81634,0.48618,0.60047,0.3329,1.6884,1.88692,1.44866,2.68451e-05,2.68451e-05,2.68451e-05
69,171.966,0.61234,1.11309,1.10452,0.83455,0.48372,0.55655,0.29771,1.70443,1.9465,1.4403,2.64447e-05,2.64447e-05,2.64447e-05
70,176.039,1.04595,0.88653,1.48394,0.83455,0.48372,0.55655,0.29771,1.70443,1.9465,1.4403,2.60207e-05,2.60207e-05,2.60207e-05
71,180.715,0.94996,1.26563,1.32578,0.83455,0.48372,0.55655,0.29771,1.70443,1.9465,1.4403,2.55731e-05,2.55731e-05,2.55731e-05
72,185.328,0.60564,0.64403,1.0931,0.83221,0.47625,0.55703,0.29433,1.7817,1.99116,1.473,2.5102e-05,2.5102e-05,2.5102e-05
73,189.432,0.68997,0.93419,1.05026,0.83221,0.47625,0.55703,0.29433,1.7817,1.99116,1.473,2.46073e-05,2.46073e-05,2.46073e-05
74,193.727,0.79593,0.63546,1.24702,0.83221,0.47625,0.55703,0.29433,1.7817,1.99116,1.473,2.40891e-05,2.40891e-05,2.40891e-05
75,197.51,0.71103,0.54775,1.13224,0.8263,0.47027,0.57222,0.2859,1.83634,1.98999,1.49189,2.35472e-05,2.35472e-05,2.35472e-05
76,201.156,0.63426,0.74117,1.12577,0.8263,0.47027,0.57222,0.2859,1.83634,1.98999,1.49189,2.29819e-05,2.29819e-05,2.29819e-05
77,204.843,0.69636,0.6528,1.12679,0.8263,0.47027,0.57222,0.2859,1.83634,1.98999,1.49189,2.23929e-05,2.23929e-05,2.23929e-05
78,209.245,0.88164,1.0198,1.20176,0.84127,0.46667,0.59897,0.29113,1.82298,2.01914,1.49132,2.17805e-05,2.17805e-05,2.17805e-05
79,213.843,0.58808,0.82575,1.09402,0.84127,0.46667,0.59897,0.29113,1.82298,2.01914,1.49132,2.11444e-05,2.11444e-05,2.11444e-05
80,218.837,0.76184,0.74268,1.22163,0.84127,0.46667,0.59897,0.29113,1.82298,2.01914,1.49132,2.04848e-05,2.04848e-05,2.04848e-05
81,222.769,0.52869,0.51562,0.98471,0.82603,0.4684,0.57341,0.28797,1.8619,2.04473,1.53685,1.98016e-05,1.98016e-05,1.98016e-05
82,227.293,0.804,0.67694,1.14071,0.82603,0.4684,0.57341,0.28797,1.8619,2.04473,1.53685,1.90949e-05,1.90949e-05,1.90949e-05
83,230.829,0.8239,0.87215,1.23904,0.82603,0.4684,0.57341,0.28797,1.8619,2.04473,1.53685,1.83646e-05,1.83646e-05,1.83646e-05
84,235.064,0.78668,0.56661,1.20657,0.82849,0.48209,0.60052,0.3006,1.85753,2.07486,1.53677,1.76107e-05,1.76107e-05,1.76107e-05
85,239.679,0.58672,0.74959,1.12026,0.82849,0.48209,0.60052,0.3006,1.85753,2.07486,1.53677,1.68333e-05,1.68333e-05,1.68333e-05
